request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400.00 available over the next 90 days.
request_190,538.12,affordable_later,wait,2024-12-15:2557.50,2024-12-15,none,"Pay EUR 2,557.50 in full on 2024-12-15. Paying earlier would take the balance below the EUR 1,600.00 minimum."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500.00 available over the next 90 days.
request_192,170.43,not_affordable,not_recommended,2026-05-15:2046,2026-05-15,none,"Pay USD 2,046.00 in full on 2026-05-15. Paying earlier would take the balance below the USD 1,000.00 minimum."
request_193,97.14,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,"Use 3 installments of EUR 420.23, starting 2024-03-21. This leaves at least EUR 1,000.00 available."
request_194,40150.54,affordable_later,wait,2025-10-15:132800,2025-10-15,none,"Pay INR 132,800.00 in full on 2025-10-15. Paying earlier would take the balance below the INR 113,600.00 minimum."
request_195,986.68,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-15,none,"Use 3 installments of EUR 405.74, starting 2026-01-09. This leaves at least EUR 700.00 available."
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500.00 available over the next 90 days.
request_197,50939000.00,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17,658,853.33, starting 2025-11-19. This leaves at least IDR 26,245,900.00 available."
request_198,185800.00,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800.00 today. This leaves at least INR 124,300.00 available over the next 90 days."
request_199,23674000.00,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 2024-09-07. This leaves at least IDR 25,359,500.00 available."
request_200,21717000.00,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000.00 today. This leaves at least IDR 20,114,600.00 available over the next 90 days."
request_201,23997000.00,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000.00 today. This leaves at least IDR 17,304,500.00 available over the next 90 days."
request_202,123900.00,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900.00 today. This leaves at least INR 147,800.00 available over the next 90 days."
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 2025-05-10. This leaves at least EUR 1,400.00 available."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,"Pay EUR 588.74 today. This leaves at least EUR 1,300.00 available over the next 90 days."
request_205,10621000.00,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000.00 today. This leaves at least IDR 13,994,300.00 available over the next 90 days."
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. This leaves at least EUR 900.00 available."
request_207,4690.91,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830.00 in full on 2026-07-15. Paying earlier would take the balance below the ZAR 13,600.00 minimum."
request_208,3611443.87,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000.00 in full on 2024-06-15. Paying earlier would take the balance below the IDR 10,470,700.00 minimum."
request_209,2455.33,not_affordable,not_recommended,none,2025-12-15,none,"Although ZAR 2,455.33 is available today, the full amount cannot be completed safely within 90 days."
request_210,850.82,affordable_with_plan,partial_payment,2026-04-06:850.82|2026-04-15:509.20,2026-04-15,none,"Pay USD 850.82 today and the remaining USD 509.20 on 2026-04-15. This completes the full request and keeps the USD 2,000.00 minimum protected."
request_211,319.20,affordable_later,wait,2024-09-15:1788.60,2024-09-15,none,"Pay EUR 1,788.60 in full on 2024-09-15. Paying earlier would take the balance below the EUR 1,500.00 minimum."
request_212,6570224.55,not_affordable,not_recommended,none,,none,"None of the available options keeps the IDR 29,579,800.00 minimum protected."
request_213,2846.93,not_affordable,not_recommended,none,,none,"None of the available options keeps the USD 2,100.00 minimum protected."
request_214,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 174,900.00 minimum protected."
request_215,29986.00,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 2025-05-09. This leaves at least ZAR 15,700.00 available."
request_216,490.16,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Pay USD 3,332.40 in full on 2026-09-15. Paying earlier would take the balance below the USD 1,800.00 minimum."
request_217,20910.00,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments of ZAR 12,889.07, starting 2024-03-19. This leaves at least ZAR 26,800.00 available."
request_218,25084476.86,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"Use 3 installments of IDR 21,195,893.33, starting 2025-08-07. This leaves at least IDR 34,477,200.00 available."
request_219,729.75,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 2026-04-07. This leaves at least EUR 1,100.00 available."
request_220,127.34,not_affordable,not_recommended,none,2024-08-15,none,"Although EUR 127.34 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800.00,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800.00 today. This leaves at least INR 81,500.00 available over the next 90 days."
request_222,34078.00,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078.00 today. This leaves at least ZAR 27,300.00 available over the next 90 days."
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800.00 available over the next 90 days.
request_224,10327000.00,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5,370,040.00, starting 2025-02-04. This leaves at least IDR 22,187,600.00 available."
request_225,9326862.08,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7,647,120.00, starting 2026-07-20. This leaves at least IDR 17,670,700.00 available."
request_226,157000.00,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000.00 today. This leaves at least INR 209,400.00 available over the next 90 days."
request_227,10795.94,not_affordable,not_recommended,none,2025-07-15,none,"Although INR 10,795.94 is available today, the full amount cannot be completed safely within 90 days."
request_228,2568956.34,not_affordable,not_recommended,none,,none,"None of the available options keeps the IDR 26,191,200.00 minimum protected."
request_229,481.32,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This leaves at least EUR 1,000.00 available."
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000.00 available over the next 90 days."
request_231,31362.40,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments of ZAR 12,378.08, starting 2026-01-06. This leaves at least ZAR 24,300.00 available."
request_232,756.86,affordable_later,wait,2024-08-15:1970.10,2024-08-15,none,"Pay EUR 1,970.10 in full on 2024-08-15. Paying earlier would take the balance below the EUR 2,400.00 minimum."
request_233,4249048.77,affordable_with_plan,partial_payment,2025-11-07:4249048.77|2025-11-15:1991951.23,2025-11-15,none,"Pay IDR 4,249,048.77 today and the remaining IDR 1,991,951.23 on 2025-11-15. This completes the full request and keeps the IDR 10,365,700.00 minimum protected."
request_234,194.84,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.30 in full on 2026-09-15. Paying earlier would take the balance below the EUR 700.00 minimum."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700.00 available over the next 90 days.
request_236,6682905.29,not_affordable,not_recommended,none,,none,"None of the available options keeps the IDR 16,768,600.00 minimum protected."
request_237,23826000.00,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000.00 today. This leaves at least IDR 22,431,500.00 available over the next 90 days."
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07. This leaves at least USD 700.00 available."
request_239,642.00,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642.00 today. This leaves at least USD 600.00 available over the next 90 days.
request_240,16088.42,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 52,800.00 minimum protected."
request_241,21052000.00,affordable_with_plan,full_payment,2024-03-03:21052000,2024-03-03,stop:event_22154,"Stop the event_22154 expense, then pay IDR 21,052,000.00 today. This leaves at least IDR 19,252,000.00 available."
request_242,17.52,not_affordable,not_recommended,none,,none,None of the available options keeps the EUR 600.00 minimum protected.
request_243,17468.00,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468.00 today. This leaves at least ZAR 19,900.00 available over the next 90 days."
request_244,49918.00,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918.00 today. This leaves at least ZAR 45,900.00 available over the next 90 days."
request_245,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 94,600.00 minimum protected."
request_246,64086.00,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 2026-04-03. This leaves at least ZAR 39,300.00 available."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300.00 available over the next 90 days."
request_248,970.49,affordable_with_plan,partial_payment,2025-02-07:970.49|2025-03-15:995.11,2025-03-15,none,"Pay USD 970.49 today and the remaining USD 995.11 on 2025-03-15. This completes the full request and keeps the USD 1,300.00 minimum protected."
request_249,141.56,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Pay USD 643.20 in full on 2026-03-15. Paying earlier would take the balance below the USD 600.00 minimum.
request_250,17431.76,not_affordable,not_recommended,none,,none,"None of the available options keeps the ZAR 35,300.00 minimum protected."
request_251,1513.60,affordable_with_plan,full_payment,2025-05-03:1513.60,2025-05-03,stop:event_23061,"Stop the event_23061 expense, then pay EUR 1,513.60 today. This leaves at least EUR 1,300.00 available."
request_252,4378544.26,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000.00 in full on 2026-09-15. Paying earlier would take the balance below the IDR 15,152,200.00 minimum."
request_253,1466.37,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 2024-03-21. This leaves at least EUR 2,300.00 available."
request_254,651.94,affordable_later,wait,2025-09-15:3535.20,2025-09-15,none,"Pay USD 3,535.20 in full on 2025-09-15. Paying earlier would take the balance below the USD 2,500.00 minimum."
request_255,3345000.00,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000.00 today. This leaves at least IDR 9,813,900.00 available over the next 90 days."
request_256,157769.13,affordable_later,wait,2024-07-15:218700,2024-07-15,none,"Although INR 157,769.13 is available today, the full amount cannot be completed safely within 90 days."
request_257,360.11,affordable_later,wait,2025-11-15:1352.40,2025-11-15,none,"Pay USD 1,352.40 in full on 2025-11-15. Paying earlier would take the balance below the USD 1,600.00 minimum."
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500.00 available over the next 90 days."
request_259,246.45,affordable_later,wait,2024-10-15:935,2024-10-15,none,Pay EUR 935.00 in full on 2024-10-15. Paying earlier would take the balance below the EUR 600.00 minimum.
request_260,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the IDR 20,727,700.00 minimum protected."
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500.00 available over the next 90 days."
request_262,9236000.00,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000.00 today. This leaves at least IDR 31,018,500.00 available over the next 90 days."
request_263,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the ZAR 24,100.00 minimum protected."
request_264,25006.12,affordable_later,wait,2026-05-15:111300,2026-05-15,none,"Pay INR 111,300.00 in full on 2026-05-15. Paying earlier would take the balance below the INR 59,500.00 minimum."
request_265,40138.17,affordable_with_plan,full_payment,2024-03-06:45970,,stop:event_24384,"Stop the event_24384 expense, then pay INR 45,970.00 today. This leaves at least INR 189,700.00 available."
request_266,763.44,affordable_later,wait,2025-09-15:935,2025-09-15,none,"Although EUR 763.44 is available today, the full amount cannot be completed safely within 90 days."
request_267,1684.33,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 2026-01-08. This leaves at least EUR 1,500.00 available."
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This leaves at least EUR 1,400.00 available."
request_269,11013.12,affordable_later,wait,2025-11-15:15490,2025-11-15,none,"Pay ZAR 15,490.00 in full on 2025-11-15. Paying earlier would take the balance below the ZAR 23,100.00 minimum."
request_270,126.60,not_affordable,not_recommended,none,2026-09-15,none,"Although USD 126.60 is available today, the full amount cannot be completed safely within 90 days."
request_271,15561.76,affordable_later,wait,2024-10-15:91300,2024-10-15,none,"Pay INR 91,300.00 in full on 2024-10-15. Paying earlier would take the balance below the INR 58,200.00 minimum."
request_272,5705778.88,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,"Use 3 installments of IDR 4,709,466.67, starting 2025-02-12. This leaves at least IDR 7,508,600.00 available."
request_273,9846745.45,affordable_with_plan,partial_payment,2026-04-07:9846745.45|2026-04-15:6014254.55,2026-04-15,none,"Pay IDR 9,846,745.45 today and the remaining IDR 6,014,254.55 on 2026-04-15. This completes the full request and keeps the IDR 18,774,600.00 minimum protected."
request_274,2156.83,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 2024-12-04. This leaves at least EUR 1,800.00 available."
request_275,15884000.00,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000.00 today. This leaves at least IDR 12,760,100.00 available over the next 90 days."
